price,dispaly_res_type,os,processor_brand,connectivity_feature,battery,ram,internal_storgar,mobile_brand,dispaly_size_in_inches,back_camera,front_camera
8999,HD+,Android 10,Mediatek,4,5000,4,64,Motorola,6.51,13.0,5.0
6999,HD+,Android 10,Mediatek,4,5000,2,32,Motorola,6.51,13.0,5.0
7499,HD+,other,Mediatek,4,3000,4,64,MOTOROLA,6.1,13.0,8.0
27999,Full HD+,Android 11,Snapdragon,5,4000,8,128,Motorola,6.7,108.0,32.0
9999,Full HD+ AMOLED Display,Android 12,Snapdragon,4,5000,4,64,Motorola,6.402,50.0,16.0
10999,Full HD+,Android 12,Snapdragon,4,5000,4,64,Motorola,6.6,50.0,16.0
29999,Full HD+,Android 11,Snapdragon,5,4500,8,128,Motorola,6.7,108.0,32.0
7990,HD+,Android 12,Mediatek,4,5000,4,64,Motorola,6.5,16.0,8.0
39999,Full HD+,Android 12,Snapdragon,5,4610,12,256,Motorola,6.67,200.0,60.0
39999,Full HD+,Android 12,Snapdragon,5,4610,12,256,Motorola,6.67,200.0,60.0
16999,Full HD+,Android 10,Snapdragon,4,5000,6,128,Motorola,6.5,64.0,16.0
6990,HD+,Android 12,Mediatek,4,5000,3,32,Motorola,6.5,16.0,
6990,HD+,Android 12,Mediatek,4,5000,3,32,Motorola,6.5,16.0,8.0
13999,Full HD+,Android 12,Snapdragon,5,5000,6,128,MOTOROLA,6.6,50.0,16.0
34999,Full HD+,Android 12,Snapdragon,5,4610,8,128,Motorola,6.67,200.0,60.0
11999,Full HD+,Android 12,Snapdragon,5,5000,8,128,Motorola,16.51,50.0,16.0
5999,HD+,Android 13,other,4,5000,2,64,Motorola,6.5,13.0,5.0
8999,HD+,Android 13,Mediatek,4,5000,4,128,Motorola,6.5,50.0,8.0
9999,Full HD+ AMOLED Display,Android 12,Snapdragon,4,5000,4,64,Motorola,6.402,50.0,16.0
6499,HD,other,Mediatek,4,4000,2,16,MOTOROLA,5.0,8.0,2.0
9990,HD+,other,Snapdragon,4,5000,3,32,MOTOROLA,6.0,12.0,5.0
14999,Full HD+,Android 12,Snapdragon,5,5000,8,128,MOTOROLA,6.6,50.0,16.0
5999,HD,other,Mediatek,4,4000,2,16,MOTOROLA,5.0,8.0,2.0
16999,HD,other,Snapdragon,4,2470,2,16,Virat,5.0,13.0,5.0
30999,Full HD+,Android 13,Mediatek,5,5000,8,128,OnePlus,6.74,50.0,
31990,other,Android 10,Snapdragon,5,4300,8,128,OnePlus,6.55,48.0,16.0
25990,other,Android 11,Snapdragon,5,4500,12,256,OnePlus,6.43,64.0,
32980,other,Android 10,Snapdragon,5,4300,8,128,OnePlus,6.55,48.0,16.0
